Year-Month,monthly_anomaly,Value
2000-01,3.5618813766856703,0.7
2000-03,5.415500888197717,1.3
2000-05,3.462430042871712,0.4
2000-07,4.456025864212361,-0.2
2000-08,3.542867522883902,0.7
2000-11,1.400059165565209,1.8
2001-03,12.220113228566909,0.9
2001-06,15.3238632802636,0.3
2001-08,10.078300760275798,-0.4
2001-09,12.05676533761279,0.2
2002-02,16.66226321630264,1.1
2002-06,32.535040935013534,0.2
2002-08,-0.10873074052196599,-1.0
2002-10,7.644805813134672,-0.4
2002-12,6.97983989443953,-1.1
2003-01,6.85576729902055,-0.2
2003-04,6.175915193700632,-0.1
2003-07,1.8892961815420157,0.3
2003-08,0.846456419140592,0.1
2003-10,4.1077984790632405,0.0
2003-11,3.213763056400236,-0.3
2003-12,2.163517219069343,1.1
2004-03,1.4487307357512595,0.4
2004-04,0.2384276017567526,-0.9
2004-05,-2.2747130282401993,1.0
2004-06,-4.393643243569263,0.8
2004-07,-4.996942214894666,-0.5
2004-09,-4.8630745195534,-0.3
2004-10,-7.567189112880639,-0.1
2004-11,-5.278645364879421,-0.7
2005-01,-5.453979758867829,0.3
2005-02,-5.4400766408635555,-3.1
2005-03,-7.589278730193225,0.3
2005-04,-9.64887561218896,-0.6
2005-05,-12.375841250181034,-0.8
2005-06,-12.381630835513139,0.4
2005-08,-12.036447518170048,-0.3
2005-10,-5.624281912158459,1.2
2006-01,-5.458905891478985,1.7
2006-02,-1.7525642328074358,0.1
2006-03,0.6176107591974466,1.8
2006-04,2.0665753365344357,1.1
2006-05,4.038416995205986,-0.5
2006-06,4.03019719454481,0.2
2006-07,2.7695707561318827,-0.6
2006-10,-1.738041378102951,-1.3
2006-11,-0.6036796616015726,0.1
2006-12,-0.8651122234289642,-0.3
2007-02,3.9425710939141276,-0.1
2007-03,7.872991923249904,0.2
2007-04,9.541921077923893,-0.1
2007-09,12.89379603794829,0.2
2007-10,8.551304363286505,0.7
2007-12,13.417321013962928,1.7
2008-03,16.785004331306023,1.4
2008-05,16.984108477984886,-0.1
2008-08,7.23363345399953,1.0
2008-10,-6.735136567140275,1.3
2009-03,-4.6742981797309175,0.4
2009-11,-14.004039576597593,-0.6
2009-12,-12.010408332593943,-0.7
2010-01,-6.192373617034317,-1.1
2010-05,-4.010243787237422,0.9
2010-06,-3.385691713897989,0.4
2010-07,-5.408937551228888,1.8
2010-10,-7.493517782548191,1.7
2010-11,-6.660781331210586,1.3
2011-01,-1.2997646805341565,2.3
2011-02,-1.152619244946479,2.7
2011-03,1.1780994950596222,2.5
2011-04,1.6593678493127515,1.9
2011-08,1.7960678173322668,0.4
2012-01,4.720929631595111,1.1
2012-02,6.319363606692437,0.5
2012-04,7.0178541451758365,-0.3
2012-05,6.15880108670464,0.0
2012-07,4.593817737381068,-0.0
2012-08,4.86441355872172,-0.2
2012-10,3.3567635427314766,0.3
2012-12,2.053714736905786,-0.6
2013-06,1.0043218200989736,1.2
2013-07,-9.10539978646123,0.8
2013-09,7.150969714779062,0.3
2013-10,-0.5328907158790598,-0.1
2013-11,1.8627405281245886,0.7
2013-12,1.794371772128252,0.1
2014-02,3.6057394674695145,0.1
2014-03,0.04406693455704322,0.9
2014-04,0.18673840681444218,0.8
2014-06,3.355500894821758,0.2
2014-07,1.67811442749392,-0.2
2014-08,-1.031710580501206,-0.7
2014-09,-5.174658507161771,-0.7
2014-12,-4.811492901150178,-0.6
2015-02,-1.7940991691391956,0.2
2015-04,4.1527685262020615,-0.0
2015-05,5.138259140208774,-0.7
2015-06,1.7997851768784876,0.6
2015-07,0.35100391688458654,-1.1
2015-09,-3.7645846397729295,-1.6
2015-10,-3.5654971437704854,-1.7
2015-12,-4.968059663758289,-0.6
2016-01,-3.5304284197546263,-2.2
2016-02,-1.1225867610830846,-2.0
2016-05,-1.468272199736326,0.4
2016-06,-6.441553459730228,0.6
2016-07,-13.480132630394458,0.4
2016-08,-17.70916805305746,0.7
2016-09,-20.599659727719246,1.2
2016-10,-20.3778180690477,-0.3
2016-11,-17.476099329041595,-0.1
2017-03,-12.429453263350304,0.9
2017-04,-6.913434783685088,-0.2
2017-05,-6.0939264583468695,0.3
2017-06,-8.469084799675327,0.4
2017-08,-7.253383771000735,0.5
2017-11,-6.4057358763206445,0.9
2017-12,-3.0798765063175955,-0.1
2018-01,-0.4186754776429974,1.1
2018-02,1.328608241443309,-0.5
2018-03,1.7078084504204414,1.5
2018-06,2.543594275047459,0.1
2018-07,0.2050884088016499,0.2
2018-08,-6.219731868665462,-0.3
2018-09,-8.302178659608224,-0.9
2018-10,-13.396902017548252,0.4
2018-11,-13.599284927597246,-0.1
2019-01,-14.551915239309357,-0.0
2019-02,-9.966847447585051,-1.4
2019-03,-4.596216203581387,0.3
2019-04,0.280846112980163,0.1
2019-06,4.817715410185005,0.5
2019-07,5.568606683103576,-0.4
2019-08,7.613869171110894,-0.1
2019-10,3.3158716302033007,-0.4
2019-11,0.8924863361246239,-0.8
2019-12,-1.3824001312032201,-0.6
2020-01,-1.421062029810517,0.2
2020-02,-0.28442288908306307,-0.1
2020-03,0.24053676218439876,0.1
2020-04,1.7670598657312073,0.2
2020-05,1.7905090782350244,0.4
2020-06,2.9955032119892206,0.4
2020-07,2.456364574938894,0.4
2020-08,0.7248673875829978,1.1
2020-09,-2.4988985075777173,0.9
2020-10,-8.957019042213483,0.5
2021-01,-8.190692673312393,1.9
2021-02,-4.4962371284169995,1.5
2021-03,-0.3476476394679254,0.4
2021-04,6.448179827619593,0.3
2021-05,8.764987590428989,0.5
2021-08,2.09219893738843,0.6
2021-09,-2.7795976874386477,0.8
2021-10,-5.668465270185823,0.7
2021-11,-6.965594641721662,1.0
2021-12,-4.3266921103419715,1.5
2022-01,-2.8769107377539926,0.5
2022-02,2.655400973417304,1.1
2022-03,5.790925641296332,1.8
2022-04,8.472750175260957,1.7
2022-05,8.850627256595509,1.4
2022-06,11.106134017601512,1.7
2022-07,10.26998908569097,0.8
2022-08,6.020817139403075,1.0
2022-09,0.1740399857812378,1.6
2022-10,-2.4575899723791736,1.7
2022-11,-5.566516630429394,0.3
2022-12,-4.651770718035783,2.1
2023-01,-2.625457442532272,1.4
2023-02,-1.7663746395264772,1.4
2023-03,2.2489904071101825,0.2
2023-04,4.402182769731226,0.2
2023-05,5.19078861998679,-1.0
2023-07,6.437925842830347,-0.3
2023-08,1.750416028222637,-0.8
2023-09,-2.5883270339955207,-1.3
2023-10,-12.323274960656082,-0.5
2023-11,-10.398187464653644,-0.8
2023-12,-9.848103488398685,-0.2
2024-01,-4.971242516532058,0.5
2024-02,0.8232145926955466,-1.4
2024-04,2.363687495370754,-0.2
2024-05,3.3723801987071376,0.5
2024-06,3.3817656053799032,0.0
2024-07,1.2931510120526721,-0.7
2024-08,-4.028402121941835,0.9
2024-12,-4.170456316591422,1.2
